CLIENT - 2020-10-11 18:28:20,855 - VAMOS COMECAR UHUL
CLIENT - 2020-10-11 18:28:21,031 - ENVIO | TIPO: T1 | TAMANHO: 14
CLIENT - 2020-10-11 18:28:21,031 - RECEBIMENTO | TIPO: T2 | TAMANHO: 14
CLIENT - 2020-10-11 18:28:22,455 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:24,475 - RECEBIMENTO | T4 (CONF) | TAMANHO: 114 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:24,616 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:27,591 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:27,607 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:27,607 - RECEBIMENTO | T4 (CONF) | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:27,607 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:32,705 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:32,721 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:37,746 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:37,761 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:38,414 - RECEBIMENTO | T6 (ERRO) | TAMANHO: 14
CLIENT - 2020-10-11 18:28:38,462 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:38,477 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:38,477 - ENVIO | T3 (DADOS) | TAMANHO: 114 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
CLIENT - 2020-10-11 18:28:38,477 - ENVIO | T3 (DADOS) | TAMANHO: 55 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\x00\x00'
