SERVER - 2020-10-09 19:55:25,487 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 19:55:25,548 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:55:25,594 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:55:26,286 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:55:26,349 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:55:31,491 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 19:56:16,789 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 19:56:16,852 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:16,947 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:17,563 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:17,595 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:18,131 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:18,162 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:18,826 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:18,858 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:19,488 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:19,520 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:20,232 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:56:20,280 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:56:25,405 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 19:59:07,839 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 19:59:07,935 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:07,999 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:08,585 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:08,615 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:09,371 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:09,419 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:10,053 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:10,085 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:10,701 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:10,877 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:11,287 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 19:59:11,319 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 19:59:16,457 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
